tam,secuencial,paralelo
5, 0, 0
5, 0, 0
5, 0, 1
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
10, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
20, 0, 0
30, 0, 1
30, 0, 1
30, 0, 0
30, 0, 0
30, 0, 2
30, 0, 2
30, 0, 1
30, 0, 1
30, 0, 0
30, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
40, 0, 1
50, 1, 1
50, 1, 1
50, 1, 1
50, 1, 2
50, 1, 1
50, 1, 1
50, 1, 1
50, 1, 1
50, 1, 1
50, 2, 4
100, 12, 7
100, 12, 7
100, 11, 8
100, 10, 7
100, 11, 11
100, 12, 7
100, 11, 9
100, 10, 7
100, 12, 7
100, 11, 13
120, 19, 12
120, 20, 12
120, 19, 17
120, 19, 12
120, 20, 12
120, 18, 18
120, 19, 12
120, 19, 12
120, 19, 16
120, 19, 13
140, 32, 19
140, 36, 19
140, 33, 18
140, 33, 23
140, 33, 18
140, 32, 21
140, 33, 19
140, 32, 22
140, 33, 19
140, 32, 23
160, 52, 27
160, 52, 26
160, 52, 28
160, 54, 27
160, 52, 29
160, 54, 28
160, 51, 27
160, 54, 28
160, 52, 28
160, 53, 28
180, 75, 42
180, 77, 41
180, 76, 43
180, 78, 42
180, 77, 44
180, 79, 44
180, 77, 42
180, 75, 42
180, 76, 47
180, 78, 44
200, 107, 53
200, 106, 53
200, 110, 53
200, 109, 53
200, 107, 52
200, 106, 53
200, 112, 58
200, 115, 54
200, 110, 55
200, 107, 56
250, 217, 107
250, 213, 100
250, 208, 97
250, 208, 99
250, 208, 99
250, 208, 98
250, 207, 98
250, 206, 99
250, 209, 98
250, 206, 100
300, 398, 182
300, 387, 179
300, 390, 225
300, 445, 202
300, 385, 176
300, 416, 173
300, 408, 174
300, 400, 187
300, 377, 168
300, 388, 168
400, 920, 432
400, 904, 411
400, 898, 414
400, 911, 414
400, 904, 439
400, 904, 421
400, 908, 416
400, 907, 412
400, 917, 415
400, 914, 412
500, 1805, 828
500, 1842, 824
500, 1830, 832
500, 1845, 831
500, 1823, 846
500, 1832, 831
500, 1808, 857
500, 1832, 830
500, 1827, 869
500, 1814, 828
600, 3357, 1443
600, 3356, 1447
600, 3359, 1445
600, 3363, 1446
600, 3357, 1448
600, 3350, 1453
600, 3364, 1464
600, 3356, 1458
600, 3317, 1481
600, 3342, 1484
800, 7953, 3371
800, 7945, 3377
800, 7900, 3366
800, 7944, 3382
800, 7898, 3367
800, 7935, 3381
800, 7912, 3364
800, 7887, 3364
800, 7924, 3383
800, 7911, 3367
1000, 16769, 7035
1000, 16737, 7034
1000, 16743, 7030
1000, 16761, 7031
1000, 17728, 7082
1000, 16762, 7062
1000, 16828, 7033
1000, 16825, 7035
1000, 16861, 7039
1000, 17687, 7080
1200, 28205, 12158
1200, 28159, 12159
1200, 28143, 12144
1200, 28203, 12140
1200, 28229, 12154
1200, 28299, 12234
1200, 28211, 12173
1200, 28685, 12161
1200, 28284, 12225
1200, 27954, 12046
1500, 58547, 25699
1500, 58704, 25712
1500, 59216, 25697
1500, 61565, 26238
1500, 60009, 26535
1500, 60500, 26038
1500, 61311, 26187
1500, 60970, 25959
1500, 60862, 25940
1500, 60306, 25977
2000, 139857, 64392
2000, 139216, 64359
2000, 140603, 64223
2000, 139430, 64221
2000, 139610, 64206
2000, 139822, 64328
2000, 140658, 64471
2000, 560537, 64134
2000, 143993, 64073
2000, 144401, 64735
